Begin.Date,F0 Code,USCG Code,Lat turbine (degree),Long turbine (degree),Dist WARBLER (km),Dist WARBLER (m),Rank,Category
2023/08/07,A04,AM08,41.10912,-71.12482,15.0393055,15039.3055,13,Far
2023/07/23,A11,AN09,41.09377,-71.1024,14.81449555,14814.49555,12,Far
2023/7/24,A11,AN09,41.09377,-71.1024,14.81449555,14814.49555,12,Far
2023/07/12,A03,AM07,41.10962,-71.1472,14.17670646,14176.70646,11,Far
2023/07/08,A10,AN08,41.09338,-71.1234,13.66415726,13664.15726,10,Far
2023/07/09,A10,AN08,41.09338,-71.1234,13.66415726,13664.15726,10,Far
2023/08/01,A15,AP09,41.0775,-71.10188,13.55854657,13558.54657,9,Mid
2023/07/31,A02,AM06,41.10922,-71.1692,13.43673236,13436.73236,8,Mid
2023/08/04,A01,AM05,41.10883,-71.18983,12.94334576,12943.34576,7,Mid
2023/07/21,A14,AP08,41.07673,-71.12392,12.20150204,12201.50204,6,Mid
2023/07/06,A08,AN06,41.09195,-71.1692,11.63594063,11635.94063,5,Mid
2023/08/05,A07,AN05,41.09212,-71.19055,11.11657358,11116.57358,4,Close
2023/08/03,A13,AP07,41.07628,-71.1472,10.9599016,10959.9016,3,Close
2023/06/20,Z01,AP06,41.07628,-71.16795,10.08584434,10085.84434,2,Close
2023/07/02,A12,AP05,41.07545,-71.19,9.335578353,9335.578353,1,Close
NA,SRW WARBLER,SRW WARBLER,40.99485,-71.220583,0,0,NA,NA
NA,SFW WARBLER,SFW WARBLER,41.09484,-71.13760,0,0,NA,NA